This is a backup of mpql’s ID list : https://mpql.net/tools/acnh/codes/item-list/
—————
Empty, FFFE
Hole, EA79
—————
STR_ItemName_00_Ftr
baby bed, 004F [Ftr_00079]
clackercart, 0050 [Ftr_00080] DIY: 00A4
rocking horse, 0053 [Ftr_00083] DIY: 0066
train set, 0055 [Ftr_00085]
elephant slide, 0056 [Ftr_00086]
ringtoss, 0058 [Ftr_00088] DIY: 002B
moss ball, 006D [Ftr_00109]
lucky cat, 0083 [Ftr_00131]
succulent plant, 0084 [Ftr_00132] DIY: 00BE
manhole cover, 0090 [Ftr_00144] DIY: 0115
cone, 0092 [Ftr_00146]
exercise bike, 011F [Ftr_00287]
treadmill, 0122 [Ftr_00290]
kitchen stove, 0124 [Ftr_00292]
barbecue, 014A [Ftr_00330]
birdbath, 014B [Ftr_00331] DIY: 002A
birdhouse, 014D [Ftr_00333] DIY: 0029
Mr. Flamingo, 014F [Ftr_00335]
Mrs. Flamingo, 0150 [Ftr_00336]
lawn mower, 0152 [Ftr_00338]
tiki torch, 0157 [Ftr_00343] DIY: 0067
acoustic guitar, 017F [Ftr_00383] DIY: 002C
siphon, 01AB [Ftr_00427]
pro coffee grinder, 01AD [Ftr_00429]
creepy skeleton, 020A [Ftr_00522]
FtrOneroomBox3x2, 020D [OneRoomBox_00525]
FtrOneroomBox3x1, 020E [OneRoomBox_00526]
grass standee, 0212 [Ftr_00530] DIY: 0246
hedge standee, 0213 [Ftr_00531] DIY: 0247
mountain standee, 0214 [Ftr_00532] DIY: 0248
tree standee, 0215 [Ftr_00533] DIY: 0249
hospital bed, 0216 [Ftr_00534]
IV drip, 0219 [Ftr_00537]
exam table, 021A [Ftr_00538]
operating-room cart, 021F [Ftr_00543]
stadiometer, 0222 [Ftr_00546]
washbasin, 0223 [Ftr_00547]
beach chair, 0298 [Ftr_00664]
wave breaker, 0299 [Ftr_00665] DIY: 0037
shaved-ice maker, 029B [Ftr_00667]
ukulele, 029D [Ftr_00669] DIY: 002D
tall lantern, 02A4 [Ftr_00676] DIY: 028D
deer scare, 02A5 [Ftr_00677] DIY: 0167
boomerang, 02AA [Ftr_00682] DIY: 00AB
bottled ship, 02AB [Ftr_00683]
Dala horse, 02AD [Ftr_00685]
pagoda, 02B0 [Ftr_00688]
paper tiger, 02B1 [Ftr_00689]
hula doll, 02B2 [Ftr_00690]
Statue of Liberty, 02B5 [Ftr_00693]
moai statue, 02BA [Ftr_00698]
Tower of Pisa, 02BC [Ftr_00700]
tapestry, 02C0 [Ftr_00704]
bamboo bench, 02C6 [Ftr_00710] DIY: 002E
screen, 02CC [Ftr_00716]
clay furnace, 02CD [Ftr_00717]
hearth, 02D2 [Ftr_00722] DIY: 00D9
kettle, 02D4 [Ftr_00724]
paper lantern, 02D5 [Ftr_00725]
garden rock, 02D9 [Ftr_00729] DIY: 0030
tall garden rock, 02DA [Ftr_00730] DIY: 0031
low folding table, 02DF [Ftr_00735]
tea table, 02E3 [Ftr_00739] DIY: 0021
safety railing, 02E5 [Ftr_00741]
